id,score,sharpe,cagr,max_dd,trades,stability
c697394a,4.641501819476692,0.39388006918267454,0.050565082252464144,-0.13169150229078214,12,5.04214844152415
9aa49942,3.043519514667218,0.16901856370358934,0.01909688719258784,-0.1967355119776604,54,6.732846630440651
ff8ec6df,3.0,0.0,0.0,0.0,0,10.0
9a5790a1,1.2313381586564398,-0.9322873669650404,-0.17508343485613165,-0.42285200642182064,36,4.3444605288548
55d38309,0.8796347162480006,-0.3620582988593836,-0.07940956709191438,-0.2608092957356405,9,2.9921157208266687
68754f3b,0.7711571081359622,-1.8112303290105793,-0.25870719280811083,-0.5645252969121487,194,3.863857027119874
6075e78d,0.5850919497912669,-0.43648132216441665,-0.09293026872600119,-0.30030696032288373,20,2.0836398326375565
2d292517,0.2717184408189645,-0.6812419123858332,-0.1243906748235627,-0.4295852151593835,31,1.1123948027298818
23db784e,0.21225760380346276,-0.18537308396734264,-0.045862039345374694,-0.3559747832728291,23,0.8608586793448759
cf5b7682,0.15399027578997698,-1.2962442109448498,-0.22686726437472438,-0.5745905539077745,87,1.0933009192999232
