Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,18-Nov-2025,CE,26250.00,30.00,37.65,21.85,28.70,28.40,28.70,602154.00,11867842.49,12935.61,1774350.00,1008075.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25100.00,807.15,882.40,769.40,843.35,833.85,843.35,739.00,14365.99,454.31,88875.00,-13350.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25500.00,425.15,501.25,395.00,462.90,455.05,462.90,55462.00,1079278.46,18567.71,1027725.00,-656025.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24650.00,1236.10,1253.40,1236.00,1247.50,1247.50,1249.20,8.00,155.39,7.49,525.00,75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23700.00,-,-,-,2043.35,2043.35,2198.20,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23950.00,-,-,-,1791.55,1791.55,1948.45,-,-,-,300.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26000.00,92.00,123.60,79.20,101.70,99.15,101.70,2622516.00,51335317.25,196255.25,6831225.00,1613925.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25600.00,280.00,411.05,280.00,373.35,367.25,373.35,108557.00,2113392.27,29097.87,1632450.00,-823725.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24000.00,1880.05,1970.00,1860.00,1935.00,1925.35,1935.00,523.00,10166.70,752.70,68550.00,-2700.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27800.00,0.85,0.95,0.70,0.75,0.75,0.75,126740.00,2642604.62,75.62,2388000.00,1271250.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25550.00,397.90,455.45,354.00,419.05,411.95,419.05,22607.00,439848.34,6641.70,243750.00,-310050.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25050.00,856.55,925.50,819.10,893.95,886.20,893.95,203.00,3944.60,130.74,20700.00,6675.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24950.00,985.00,996.75,982.80,982.80,982.80,982.80,6.00,116.74,4.46,1650.00,75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27250.00,1.15,1.25,0.80,0.90,0.95,0.90,36041.00,736614.18,26.24,209925.00,192000.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27200.00,1.00,1.15,0.85,0.95,0.95,0.95,209105.00,4265892.97,150.97,2680875.00,726000.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26300.00,15.00,28.65,15.00,21.70,21.60,21.70,837634.00,16535980.02,13649.37,4364250.00,1418775.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27050.00,1.20,1.55,1.15,1.30,1.30,1.30,57353.00,1163604.51,55.52,718500.00,437175.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26200.00,35.95,48.85,28.75,37.70,36.95,37.70,1185416.00,23326897.86,33473.46,4088025.00,1262325.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24850.00,1055.00,1102.75,1040.05,1074.25,1074.25,1074.25,6.00,116.62,4.79,2775.00,75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25250.00,655.00,737.90,625.35,699.65,690.60,699.65,563.00,10949.55,287.74,41700.00,1425.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24800.00,1148.05,1230.00,1126.65,1197.15,1197.15,1197.15,62.00,1208.13,54.93,60675.00,-1725.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27150.00,4.35,4.45,3.50,4.30,4.40,4.30,2743.00,55862.47,8.13,124275.00,20850.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23400.00,2594.25,2594.25,2594.25,2594.25,2594.25,2594.25,1.00,19.50,1.95,225.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23000.00,2920.00,3014.50,2912.00,2980.35,2979.00,2980.35,293.00,5702.52,648.27,566775.00,-2325.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26850.00,11.50,12.40,9.05,11.05,11.15,11.05,3266.00,65795.28,26.20,105375.00,29250.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25500.00,505.00,581.05,485.00,547.40,541.95,547.40,26039.00,508354.14,10358.26,1670475.00,-420225.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26400.00,44.95,65.05,44.95,55.85,55.00,55.85,53422.00,1059939.72,2184.12,1939425.00,684525.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24650.00,1330.20,1350.00,1330.20,1350.00,1350.00,1279.25,2.00,38.99,2.02,3675.00,-75.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24300.00,1694.15,1694.15,1692.80,1692.80,1692.80,1625.95,2.00,38.99,2.54,5025.00,-150.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26950.00,7.75,8.65,6.55,7.95,8.00,7.95,2972.00,60088.52,16.97,108225.00,22200.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26100.00,151.80,168.85,125.05,149.55,147.55,149.55,66520.00,1309402.04,7273.04,1501125.00,-849300.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25800.00,266.00,345.25,266.00,318.45,312.05,318.45,81683.00,1599389.57,18823.52,2107275.00,-635625.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24950.00,1004.00,1061.55,972.60,1054.45,1043.25,1054.45,49.00,953.79,36.88,9375.00,-750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26600.00,6.50,6.50,4.00,4.80,4.80,4.80,369399.00,7370820.31,1310.26,2910750.00,1407000.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27450.00,1.00,1.10,0.80,0.85,0.85,0.85,10677.00,219819.84,7.10,68250.00,27750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23800.00,-,-,-,1955.00,1955.00,2098.30,-,-,-,600.00,-,25875.80
