instrument,id,score,eligible,sharpe,calmar,cagr,max_dd,trades,strategy_type
SENSEX,1532517637299464,64.80071958095104,False,1.38601115815112,4.798210900048299,0.12950703149947695,0.031054543369997765,15,SUPERTREND_FOLLOW
NIFTY,b30f9cdade9ea4fc,62.175192880380536,False,0.9824615083730831,3.392989599909825,0.14926873723040868,0.08910997377450414,20,VOL_EXPANSION_ATR
SENSEX,8eb8165ebd6a75fc,57.35916504984828,False,0.9358549712861108,2.8333981378697697,0.09462801727805503,0.033878217354289725,16,VOL_EXPANSION_ATR
SENSEX,690a161ed37e546a,51.538886908002,False,0.7222824111026588,2.7749363645861664,0.040013932582169454,0.06001245334081294,14,BREAKOUT_DONCHIAN
SENSEX,b49e106bb88ad593,42.13790663611874,False,0.6368904538365245,2.1878062119280286,0.06742445087953186,0.03656265490223343,23,SUPERTREND_FOLLOW
SENSEX,05f1e7a66e7c89b2,30.716152068379984,False,0.2657970974878897,0.5863671111223838,0.03405872194054205,0.09983850649947124,13,VOL_EXPANSION_ATR
NIFTY,2f1859ea480e0365,30.425652586655577,False,0.4031483040851281,1.135694147006677,0.02725798773810373,0.04470199292312434,16,BREAKOUT_DONCHIAN
NIFTY,2269d4211c276eba,26.10266776897805,False,0.3000240825819199,0.6518625006928735,0.021730325264597727,0.07111894903296494,17,BREAKOUT_DONCHIAN
NIFTY,9e5078747121b4b2,22.25212432477507,False,0.2380380035135061,0.5727093373193871,0.01381679640205613,0.04470199292312436,14,BREAKOUT_DONCHIAN
NIFTY,cd64ddf2eb320634,21.483728041402507,False,0.3550300134357526,0.7340066218374884,0.04877438341232365,0.10812160893184133,15,BREAKOUT_DONCHIAN
SENSEX,fe0f4cc8d493492c,16.989925816793374,False,0.07277312941206165,1.0100888561725043,0.018388404093128863,0.15558828800442584,15,MEAN_REV_RSI
NIFTY,aea0d1b4ba8f1310,14.523966823561693,False,-0.4126456463656553,-0.5332827640161382,-0.037548652735281574,0.07846445968008048,16,VOL_EXPANSION_ATR
NIFTY,a5dcbd29fbe86ec7,12.118048101493848,False,-0.5249306494857618,-0.5646537505727253,-0.05792571636010796,0.10411031277514317,22,VOL_EXPANSION_ATR
SENSEX,b87d9b98fde3a727,11.712678982681222,False,0.02294250255827407,0.6309711694044811,-0.011222520777565748,0.10250023854950299,11,BREAKOUT_DONCHIAN
NIFTY,517f28d1c19912ea,11.627835850213438,False,-0.10843079388979768,-0.09457196745898426,-0.019949725579421762,0.14766430574573525,44,MEAN_REV_BB
NIFTY,63cddbb4e3575799,11.539732824422755,False,-0.9417304597913742,-0.7285377906953403,-0.0930806963207162,0.13010204968470604,15,MEAN_REV_RSI
NIFTY,f0ffb9467ed30bdc,5.425131093087157,False,-0.42223113540324986,-0.2696598000737268,-0.027489041189502406,0.08231922860172361,14,MEAN_REV_RSI
SENSEX,44e0b9cab9bf702b,4.4176725840939906,False,-0.5973567653666987,0.5301207100912789,-0.08420515635007347,0.26813157013561495,19,MEAN_REV_BB
SENSEX,221bcdf92f4f7fca,4.398125274245839,False,-0.9807086562275819,-0.6184161655262603,-0.10711774331635981,0.1886765277463924,31,MEAN_REV_RSI
NIFTY,8d6099b199b9bd10,2.4025178443486985,False,-1.1416359131395046,-0.6592376470569462,-0.1316154086129493,0.21576625847767825,32,MEAN_REV_BB
NIFTY,8799ef0584bf7ebd,0.0,False,-0.0027386488456107028,-0.5490623224589901,-0.01811494537827346,0.07917392114657273,3,TREND_EMA_CROSS
NIFTY,3fb81d6d2143a42f,0.0,False,-0.5628716319141284,-0.12682691748722336,-0.05624098669667987,0.23408921822088918,31,MEAN_REV_BB
NIFTY,db752b8e3b032dbb,0.0,False,0.42375626506637115,-0.2778286259024337,0.01730539803499498,0.028978560375132356,3,TREND_EMA_CROSS
SENSEX,e501b0de29920670,0.0,False,0.2880762077054209,-0.32909684755167057,-0.0032277682889820802,0.09069450881270552,6,MEAN_REV_RSI
SENSEX,e46d1638c2d8a803,0.0,False,0.7180197238120498,1.1436543899268745,0.05902939061353274,0.021596964450636462,3,TREND_EMA_CROSS
SENSEX,945e567a5ec312b6,0.0,False,-1.1470225379885175,-1.5533835485898153,-0.032169197194086174,0.036467811720720555,3,TREND_EMA_CROSS
SENSEX,8af235fcb98d6af3,0.0,False,-0.1039897326564744,-0.07704769123031704,-0.010324946477768382,0.06997633057465262,7,BREAKOUT_DONCHIAN
