id,score,sharpe,dd,trades,sanity,rule_summary
fc7866a8,0.16342646926402138,0.0,0.0,27,PASS,"['donchian_breakout', 'atr_stop', 'profit_target']"
162ecbd3,0.16317090411739965,0.0,0.0,23,PASS,"['bb_breakout', 'atr_stop', 'adx_filter']"
b58581f1,0.14000075396308873,0.0,0.0,32,PASS,"['donchian_breakout', 'profit_target', 'adx_filter']"
72b301f2,0.13820879575268358,0.0,0.0,30,PASS,"['ema_cross', 'atr_stop', 'time_stop', 'adx_filter']"
919457d6,0.1360949574564212,0.0,0.0,39,PASS,"['rsi_long', 'profit_target']"
da43fb6d,0.131440870553738,0.0,0.0,38,PASS,"['bb_breakout', 'atr_stop', 'time_stop']"
3df87b97,0.13055381277344558,0.0,0.0,25,PASS,"['ema_cross', 'profit_target', 'time_stop']"
d4398030,0.13023850690926403,0.0,0.0,43,PASS,"['rsi_long', 'profit_target']"
f0af9ca4,0.12318380438850084,0.0,0.0,51,PASS,"['donchian_breakout', 'time_stop']"
dd256e11,0.12147739469557813,0.0,0.0,47,PASS,"['bb_breakout', 'profit_target', 'time_stop']"
ed8790bd,0.10506946914053841,0.0,0.0,52,N/A,"['ema_cross', 'time_stop', 'profit_target']"
40f47b6f,0.10272519456991352,0.0,0.0,62,N/A,"['rsi_long', 'profit_target', 'atr_stop']"
44d35031,0.09940105322051276,0.0,0.0,68,N/A,"['rsi_long', 'time_stop', 'atr_stop', 'adx_filter']"
85f52a66,0.08167133666574253,0.0,0.0,14,N/A,"['ema_cross', 'atr_stop', 'adx_filter']"
e11e700d,0.0705136321568868,0.0,0.0,16,N/A,"['ema_cross', 'time_stop', 'ema_trend_filter']"
