id,score,sharpe,dd,trades,sanity,rule_summary
73f601ce,0.18861366327737936,0.0,0.0,23,PASS,"['bb_breakout', 'time_stop', 'ema_trend_filter']"
03d1f647,0.18640300189078385,0.0,0.0,24,PASS,"['bb_breakout', 'profit_target', 'adx_filter']"
098602e6,0.18540962145391965,0.0,0.0,29,PASS,"['bb_breakout', 'atr_stop', 'adx_filter']"
e9d1c3ca,0.18278243451695414,0.0,0.0,28,PASS,"['rsi_long', 'time_stop', 'profit_target', 'ema_trend_filter']"
93849550,0.18103199289778266,0.0,0.0,30,PASS,"['donchian_breakout', 'time_stop', 'adx_filter']"
00cf319a,0.17613261386023857,0.0,0.0,30,PASS,"['ema_cross', 'time_stop', 'atr_stop', 'adx_filter']"
b5cd1b9d,0.1737059459630848,0.0,0.0,42,PASS,"['rsi_long', 'profit_target']"
493ecd23,0.17246568615102975,0.0,0.0,47,PASS,"['bb_breakout', 'time_stop']"
8c07d119,0.17246568615102975,0.0,0.0,47,PASS,"['bb_breakout', 'profit_target', 'time_stop']"
3223b717,0.1640586335039082,0.0,0.0,53,PASS,"['ema_cross', 'time_stop']"
1744cbda,0.13257621735396205,0.0,0.0,130,N/A,"['rsi_long', 'time_stop']"
251b2458,0.09742686047425794,0.0,0.0,16,N/A,"['donchian_breakout', 'profit_target', 'adx_filter']"
fd3a64a1,0.09680411884458981,0.0,0.0,18,N/A,"['donchian_breakout', 'time_stop', 'profit_target', 'ema_trend_filter']"
dabf021e,0.09539639097920034,0.0,0.0,12,N/A,"['ema_cross', 'profit_target', 'atr_stop', 'adx_filter']"
93ec005c,0.09377228215469,0.0,0.0,16,N/A,"['ema_cross', 'profit_target', 'time_stop']"
