id,score,eligible,sharpe,calmar,cagr,max_dd,trades,strategy_type
1b99e09ba234b37a,54.56654622734928,False,0.8172414558564716,2.532476091290262,0.1469436682454699,0.05830251687025924,13,VOL_EXPANSION_ATR
8124858d0407c006,46.226079636041405,False,0.8003952232399809,2.3780531304445853,0.06240280070885129,0.027260566821744825,11,SUPERTREND_FOLLOW
6d7b93bbba217493,36.56184658284322,False,0.5606236625903237,1.6191290220402763,0.09849886752732334,0.10495252214019736,26,SUPERTREND_FOLLOW
a429fe3e0a0390ac,35.24387172152202,False,0.5542875649688469,1.0774101976002084,0.049250202327860926,0.04677372311282008,22,VOL_EXPANSION_ATR
2424fad828bb6903,27.206681602803847,False,0.24267891568379785,2.070691790177869,0.054448374577831915,0.10152040477955322,20,SUPERTREND_FOLLOW
c66ceec771081a78,16.328003059685248,False,0.20991102719513138,0.424914034442331,0.014507965362727582,0.07411482454719776,21,VOL_EXPANSION_ATR
e3a4b795cbda0760,11.036315822245802,False,0.40274938289186785,-0.39642794967926914,0.0014942959700890435,0.12930760990467854,13,BREAKOUT_DONCHIAN
300613f1f52d13f3,9.155457302339284,False,-0.03302288708232631,0.5268548443073082,0.00208354694419427,0.21376600844715293,29,MEAN_REV_BB
0f735e820139c05a,5.395732700655766,False,-0.4502239478881402,-0.24035629844127449,-0.06552893375451285,0.20678948182097237,59,MEAN_REV_BB
88328fb8dd98064f,0.0,False,0.341062097891604,0.9223204602533075,0.02881355434347499,0.05391506375108719,7,BREAKOUT_DONCHIAN
6f084bcf904e4352,0.0,False,0.13775586554318875,0.2976519733666172,0.006395535884598513,0.023376974877734935,4,TREND_EMA_CROSS
2c5a317251f66226,0.0,False,0.13839734990101604,7.666360734771173,0.000862812477793129,0.04246809043776123,3,TREND_EMA_CROSS
3aca46c18cad295b,0.0,False,0.7935556967854989,0.45381611692486773,0.08200762872768674,0.03572742860979994,3,BREAKOUT_DONCHIAN
b4dda3df4271fb00,0.0,False,-1.227247040213931,-2.006136348283549,-0.024200799463394373,0.012063387159153258,1,TREND_EMA_CROSS
