instrument,id,score,sharpe,cagr,max_dd,trades,stability
,c697394a,4.641501819476692,0.39388006918267454,0.050565082252464144,-0.13169150229078214,12.0,5.04214844152415
,9aa49942,3.043519514667218,0.16901856370358934,0.01909688719258784,-0.1967355119776604,54.0,6.732846630440651
,ff8ec6df,3.0,0.0,0.0,0.0,0.0,10.0
SENSEX,b679d810c1f4,2.579914637475353,2.595129290171565,0.4468355374252001,0.0783597319095981,,
NIFTY,63313c52d1c6,1.4567527452812068,0.8603697122524314,0.0190164567434412,0.0145000179216729,,
SENSEX,fdd8acb9c046,1.3028939599602476,1.240680278441606,0.047701369069213,0.0215700695572638,,
NIFTY,39be02fe2810,1.2326744764377728,0.9382624322683074,0.0204071745839036,0.0144255447221631,,
,9a5790a1,1.2313381586564398,-0.9322873669650404,-0.17508343485613165,-0.42285200642182064,36.0,4.3444605288548
NIFTY,01f00e01a280,1.1112838913584382,1.4551709258270265,0.0865375426888087,0.0542514757428226,,
SENSEX,b6d8b77166f0,1.0866149469163398,0.9564230353664324,0.0564326862359683,0.028768858211044,,
,55d38309,0.8796347162480006,-0.3620582988593836,-0.07940956709191438,-0.2608092957356405,9.0,2.9921157208266687
,68754f3b,0.7711571081359622,-1.8112303290105793,-0.25870719280811083,-0.5645252969121487,194.0,3.863857027119874
NIFTY,e8d84540a94e,0.6192623709740587,0.3778495131012632,0.0071701581587139,0.0094063417837735,,
NIFTY,aa958b4e09f8,0.5988403021049917,0.5854605506880922,0.0406890770300226,0.0514686420478618,,
,6075e78d,0.5850919497912669,-0.43648132216441665,-0.09293026872600119,-0.30030696032288373,20.0,2.0836398326375565
SENSEX,f2da95fc851e,0.480170285200195,0.313077017113445,0.0244743299133503,0.0229050229663614,,
,2d292517,0.2717184408189645,-0.6812419123858332,-0.1243906748235627,-0.4295852151593835,31.0,1.1123948027298818
NIFTY,1ff959f3d3f6,0.2506098215815884,0.1532565633938689,0.0166743401952181,0.0418501515472532,,
,23db784e,0.21225760380346276,-0.18537308396734264,-0.045862039345374694,-0.3559747832728291,23.0,0.8608586793448759
,cf5b7682,0.15399027578997698,-1.2962442109448498,-0.22686726437472438,-0.5745905539077745,87.0,1.0933009192999232
NIFTY,1a5aed5ac9ef,-0.0350549212129166,-0.2531359272317005,-0.0105818957436759,0.0336644051431123,,
