Timestamp,Instrument,ID,Score,Sharpe,Calmar,CAGR,DD,Trades,PosFolds
20260103_061001,NIFTY,eac7f585659c,103.75,1.24,3.09,0.15,0.05,8,2
20260103_061001,NIFTY,d913357534c3,77.23,0.93,2.63,0.02,0.01,1,1
20260103_061001,NIFTY,8d6353f44c57,67.39,0.77,1.19,0.16,0.13,26,2
20260103_061001,NIFTY,98360323e8a3,55.97,0.62,1.1,0.09,0.08,7,2
20260103_061001,NIFTY,8b97cbd33ab4,47.84,0.5,0.76,0.1,0.13,34,1
20260103_061001,SENSEX,3839d372cfb3,251.34,2.68,10.25,0.29,0.03,23,2
20260103_061001,SENSEX,95c56f981856,228.87,2.43,8.71,0.33,0.04,21,2
20260103_061001,SENSEX,7c5d680315e5,223.13,2.78,6.29,0.52,0.08,31,2
20260103_061001,SENSEX,ac6c734b58aa,214.78,2.45,7.92,0.28,0.03,9,2
20260103_061001,SENSEX,8b2f9e1c80e9,213.81,2.3,7.11,0.42,0.06,15,2
