Date,Open,High,Low,Close,Volume
1997-07-01 00:00:00+05:30,4263.10986328125,4448.06005859375,4105.27978515625,4305.759765625,0.0
1997-08-01 00:00:00+05:30,4322.18994140625,4605.41015625,3851.0400390625,3876.080078125,0.0
1997-09-01 00:00:00+05:30,3875.260009765625,4112.47998046875,3758.52001953125,3902.030029296875,0.0
1997-10-01 00:00:00+05:30,3885.409912109375,4166.14013671875,3795.659912109375,3803.239990234375,0.0
1997-11-01 00:00:00+05:30,3814.75,3852.239990234375,3388.4599609375,3560.2900390625,0.0
1997-12-01 00:00:00+05:30,3536.070068359375,3711.260009765625,3247.6298828125,3658.97998046875,0.0
1998-01-01 00:00:00+05:30,3658.340087890625,3792.860107421875,3164.659912109375,3224.360107421875,0.0
1998-02-01 00:00:00+05:30,3288.780029296875,3639.840087890625,3261.3798828125,3622.219970703125,0.0
1998-03-01 00:00:00+05:30,3657.570068359375,3999.030029296875,3657.570068359375,3892.75,0.0
1998-04-01 00:00:00+05:30,3901.43994140625,4322.0,3901.43994140625,4006.81005859375,0.0
1998-05-01 00:00:00+05:30,4058.75,4156.580078125,3589.239990234375,3686.389892578125,0.0
1998-06-01 00:00:00+05:30,3737.25,3823.14990234375,2951.449951171875,3250.68994140625,0.0
1998-07-01 00:00:00+05:30,3210.60009765625,3525.89990234375,3079.429931640625,3211.31005859375,0.0
1998-08-01 00:00:00+05:30,3159.02001953125,3163.280029296875,2838.989990234375,2933.85009765625,0.0
1998-09-01 00:00:00+05:30,2862.239990234375,3266.7099609375,2850.300048828125,3102.2900390625,0.0
1998-10-01 00:00:00+05:30,3036.14990234375,3045.5400390625,2741.219970703125,2812.489990234375,0.0
1998-11-01 00:00:00+05:30,2820.22998046875,3027.199951171875,2741.699951171875,2810.659912109375,0.0
1998-12-01 00:00:00+05:30,2803.72998046875,3118.590087890625,2790.320068359375,3055.409912109375,0.0
1999-01-01 00:00:00+05:30,3113.6201171875,3515.489990234375,3103.6201171875,3315.570068359375,0.0
1999-02-01 00:00:00+05:30,3331.909912109375,3406.280029296875,3157.699951171875,3233.860107421875,0.0
1999-03-01 00:00:00+05:30,3447.5,3817.93994140625,3417.219970703125,3739.9599609375,0.0
1999-04-01 00:00:00+05:30,3750.219970703125,3754.72998046875,3183.469970703125,3325.68994140625,0.0
1999-05-01 00:00:00+05:30,3380.610107421875,4197.080078125,3363.06005859375,3966.070068359375,0.0
1999-06-01 00:00:00+05:30,3954.260009765625,4285.990234375,3830.14990234375,4140.72998046875,0.0
1999-07-01 00:00:00+05:30,4156.6201171875,4810.330078125,4120.72998046875,4542.33984375,0.0
1999-08-01 00:00:00+05:30,4571.35986328125,4965.7900390625,4470.52001953125,4898.2099609375,0.0
1999-09-01 00:00:00+05:30,4910.64013671875,4914.1201171875,4513.5498046875,4764.419921875,0.0
1999-10-01 00:00:00+05:30,4808.6298828125,5150.990234375,4368.85009765625,4444.56005859375,0.0
1999-11-01 00:00:00+05:30,4490.06005859375,4770.10986328125,4209.41015625,4622.2099609375,0.0
1999-12-01 00:00:00+05:30,4609.66015625,5077.22998046875,4584.740234375,5005.81982421875,0.0
2000-01-01 00:00:00+05:30,5209.5400390625,5668.27978515625,5184.47998046875,5205.2900390625,0.0
