timestamp,open,high,low,close,volume
2024-01-08 03:45:00,21747.599609375,21763.94921875,21492.900390625,21513.0,231500.0
2024-01-09 03:45:00,21653.599609375,21724.44921875,21517.849609375,21544.849609375,228600.0
2024-01-10 03:45:00,21529.30078125,21641.849609375,21448.650390625,21618.69921875,217000.0
2024-01-11 03:45:00,21688.0,21726.5,21593.75,21647.19921875,212500.0
2024-01-12 03:45:00,21773.55078125,21928.25,21715.150390625,21894.55078125,294700.0
2024-01-15 03:45:00,22053.150390625,22115.55078125,21963.55078125,22097.44921875,345500.0
2024-01-16 03:45:00,22080.5,22124.150390625,21969.80078125,22032.30078125,292400.0
2024-01-17 03:45:00,21647.25,21851.5,21550.44921875,21571.94921875,456000.0
2024-01-18 03:45:00,21414.19921875,21539.400390625,21285.55078125,21462.25,387300.0
2024-01-19 03:45:00,21615.19921875,21670.599609375,21575.0,21622.400390625,343100.0
2024-01-23 03:45:00,21716.69921875,21750.25,21192.599609375,21238.80078125,449700.0
2024-01-24 03:45:00,21185.25,21482.349609375,21137.19921875,21453.94921875,407500.0
2024-01-25 03:45:00,21454.599609375,21459.0,21247.05078125,21352.599609375,418100.0
2024-01-29 03:45:00,21433.099609375,21763.25,21429.599609375,21737.599609375,376700.0
2024-01-30 03:45:00,21775.75,21813.05078125,21501.80078125,21522.099609375,375100.0
2024-01-31 03:45:00,21487.25,21741.349609375,21448.849609375,21725.69921875,410600.0
2024-02-01 03:45:00,21780.650390625,21832.94921875,21658.75,21697.44921875,332500.0
2024-02-02 03:45:00,21812.75,22126.80078125,21805.55078125,21853.80078125,442800.0
2024-02-05 03:45:00,21921.05078125,21964.30078125,21726.94921875,21771.69921875,440800.0
2024-02-06 03:45:00,21825.19921875,21951.400390625,21737.55078125,21929.400390625,371000.0
2024-02-07 03:45:00,22045.05078125,22053.30078125,21860.150390625,21930.5,346300.0
2024-02-08 03:45:00,22009.650390625,22011.05078125,21665.30078125,21717.94921875,491100.0
2024-02-09 03:45:00,21727.0,21804.44921875,21629.900390625,21782.5,349200.0
2024-02-12 03:45:00,21800.80078125,21831.69921875,21574.75,21616.05078125,287400.0
2024-02-13 03:45:00,21664.30078125,21766.80078125,21543.349609375,21743.25,365800.0
2024-02-14 03:45:00,21578.150390625,21870.849609375,21530.19921875,21840.05078125,359100.0
2024-02-15 03:45:00,21906.55078125,21953.849609375,21794.80078125,21910.75,345400.0
2024-02-16 03:45:00,22020.30078125,22068.650390625,21968.94921875,22040.69921875,343900.0
2024-02-19 03:45:00,22103.44921875,22186.650390625,22021.05078125,22122.25,0.0
2024-02-20 03:45:00,22099.19921875,22215.599609375,22045.849609375,22196.94921875,295700.0
2024-02-21 03:45:00,22248.849609375,22249.400390625,21997.94921875,22055.05078125,364500.0
2024-02-22 03:45:00,22081.55078125,22252.5,21875.25,22217.44921875,343500.0
2024-02-23 03:45:00,22290.0,22297.5,22186.099609375,22212.69921875,226000.0
2024-02-26 03:45:00,22169.19921875,22202.150390625,22075.150390625,22122.05078125,207800.0
2024-02-27 03:45:00,22090.19921875,22218.25,22085.650390625,22198.349609375,252200.0
2024-02-28 03:45:00,22214.099609375,22229.150390625,21915.849609375,21951.150390625,203000.0
2024-02-29 03:45:00,21935.19921875,22060.55078125,21860.650390625,21982.80078125,360200.0
2024-03-01 03:45:00,22048.30078125,22353.30078125,22047.75,22338.75,351500.0
2024-03-04 03:45:00,22403.5,22440.900390625,22358.30078125,22405.599609375,298800.0
2024-03-05 03:45:00,22371.25,22416.900390625,22269.150390625,22356.30078125,296200.0
