Date,Open,High,Low,Close,Volume
2025-10-09 09:15:00+05:30,81863.671875,81990.34375,81742.8203125,81967.25,0.0
2025-10-09 09:30:00+05:30,81967.3828125,82009.140625,81837.140625,81837.140625,0.0
2025-10-09 09:45:00+05:30,81835.9765625,81864.109375,81734.15625,81756.390625,0.0
2025-10-09 10:00:00+05:30,81754.59375,81781.21875,81667.796875,81698.0,0.0
2025-10-09 10:15:00+05:30,81696.6171875,81859.7265625,81679.578125,81843.203125,0.0
2025-10-09 10:30:00+05:30,81841.296875,81939.46875,81836.34375,81921.03125,0.0
2025-10-09 10:45:00+05:30,81921.2890625,81933.8515625,81837.40625,81907.5390625,0.0
2025-10-09 11:00:00+05:30,81907.5703125,82085.8828125,81907.5703125,82070.7109375,0.0
2025-10-09 11:15:00+05:30,82069.1171875,82072.8828125,81993.5625,82047.1171875,0.0
2025-10-09 11:30:00+05:30,82047.171875,82127.8828125,82026.8125,82070.453125,0.0
2025-10-09 11:45:00+05:30,82071.453125,82159.828125,82004.5625,82004.5625,0.0
2025-10-09 12:00:00+05:30,82006.078125,82063.9765625,81972.953125,82015.53125,0.0
2025-10-09 12:15:00+05:30,82015.53125,82080.9296875,82015.53125,82042.453125,0.0
2025-10-09 12:30:00+05:30,82040.53125,82053.3671875,81963.90625,82009.1171875,0.0
2025-10-09 12:45:00+05:30,82009.0703125,82059.203125,81986.703125,82001.6875,0.0
2025-10-09 13:00:00+05:30,82000.453125,82030.546875,81951.9609375,81988.1015625,0.0
2025-10-09 13:15:00+05:30,81989.3828125,82034.1484375,81974.4609375,82024.296875,0.0
2025-10-09 13:30:00+05:30,82024.296875,82093.4609375,81999.796875,82052.25,0.0
2025-10-09 13:45:00+05:30,82052.453125,82131.2421875,82023.6171875,82131.2421875,0.0
2025-10-09 14:00:00+05:30,82130.84375,82155.953125,82008.15625,82042.2578125,0.0
2025-10-09 14:15:00+05:30,82039.8203125,82055.6484375,81948.0234375,82001.6328125,0.0
2025-10-09 14:30:00+05:30,82003.0,82112.09375,81966.7109375,82067.53125,0.0
2025-10-09 14:45:00+05:30,82064.8515625,82133.2421875,81980.34375,82114.578125,0.0
2025-10-09 15:00:00+05:30,82120.1015625,82239.1484375,82090.7890625,82136.34375,0.0
2025-10-09 15:15:00+05:30,82135.890625,82175.8671875,82135.890625,82171.9765625,0.0
2025-10-10 09:15:00+05:30,82075.453125,82386.1796875,82075.453125,82336.71875,0.0
2025-10-10 09:30:00+05:30,82346.828125,82459.15625,82345.2265625,82456.7265625,0.0
2025-10-10 09:45:00+05:30,82456.7265625,82551.65625,82429.1015625,82456.46875,0.0
2025-10-10 10:00:00+05:30,82456.46875,82485.2578125,82405.796875,82453.078125,0.0
2025-10-10 10:15:00+05:30,82451.15625,82573.3125,82450.203125,82495.40625,0.0
2025-10-10 10:30:00+05:30,82496.7109375,82534.2265625,82450.296875,82451.4609375,0.0
2025-10-10 10:45:00+05:30,82451.9765625,82569.0703125,82437.46875,82555.7265625,0.0
2025-10-10 11:00:00+05:30,82555.1171875,82589.921875,82513.6484375,82584.8984375,0.0
2025-10-10 11:15:00+05:30,82586.53125,82616.1875,82486.6875,82501.3984375,0.0
2025-10-10 11:30:00+05:30,82502.828125,82543.0078125,82453.6171875,82507.28125,0.0
2025-10-10 11:45:00+05:30,82507.4765625,82523.078125,82466.6328125,82473.8828125,0.0
2025-10-10 12:00:00+05:30,82479.5078125,82534.8203125,82456.0625,82483.6875,0.0
2025-10-10 12:15:00+05:30,82487.8203125,82515.1328125,82453.0390625,82489.671875,0.0
2025-10-10 12:30:00+05:30,82489.671875,82560.2421875,82451.4609375,82560.2421875,0.0
2025-10-10 12:45:00+05:30,82560.2421875,82624.109375,82548.140625,82601.703125,0.0
2025-10-10 13:00:00+05:30,82601.703125,82626.9765625,82518.34375,82565.4609375,0.0
2025-10-10 13:15:00+05:30,82565.359375,82625.25,82494.9609375,82555.1875,0.0
2025-10-10 13:30:00+05:30,82555.203125,82653.59375,82555.203125,82613.8515625,0.0
2025-10-10 13:45:00+05:30,82615.2421875,82623.5703125,82578.703125,82581.171875,0.0
2025-10-10 14:00:00+05:30,82580.078125,82606.0390625,82545.828125,82584.0703125,0.0
2025-10-10 14:15:00+05:30,82585.15625,82607.34375,82545.75,82581.0,0.0
2025-10-10 14:30:00+05:30,82581.0,82599.421875,82530.78125,82577.296875,0.0
2025-10-10 14:45:00+05:30,82576.078125,82579.3984375,82439.4921875,82561.921875,0.0
2025-10-10 15:00:00+05:30,82561.59375,82572.2734375,82454.7890625,82493.328125,0.0
2025-10-10 15:15:00+05:30,82488.7109375,82525.7578125,82488.7109375,82501.28125,0.0
2025-10-13 09:15:00+05:30,82060.84375,82314.3203125,82060.84375,82187.046875,0.0
2025-10-13 09:30:00+05:30,82189.390625,82278.2734375,82043.2265625,82278.2734375,0.0
2025-10-13 09:45:00+05:30,82277.4921875,82329.1484375,82180.171875,82220.9375,0.0
2025-10-13 10:00:00+05:30,82222.0078125,82230.8828125,82132.71875,82191.203125,0.0
2025-10-13 10:15:00+05:30,82186.59375,82246.75,82126.3828125,82239.5078125,0.0
2025-10-13 10:30:00+05:30,82235.9609375,82302.4296875,82235.9609375,82246.890625,0.0
2025-10-13 10:45:00+05:30,82243.78125,82257.15625,82169.9921875,82196.7890625,0.0
2025-10-13 11:00:00+05:30,82198.71875,82245.0390625,82175.4375,82205.25,0.0
2025-10-13 11:15:00+05:30,82207.0,82227.921875,82106.140625,82153.09375,0.0
2025-10-13 11:30:00+05:30,82151.8671875,82179.390625,82137.5625,82151.9375,0.0
2025-10-13 11:45:00+05:30,82154.921875,82222.4765625,82133.2109375,82219.140625,0.0
2025-10-13 12:00:00+05:30,82219.65625,82236.078125,82131.7265625,82197.203125,0.0
2025-10-13 12:15:00+05:30,82198.0,82199.6875,82141.3515625,82189.9375,0.0
2025-10-13 12:30:00+05:30,82186.90625,82234.6796875,82151.8671875,82231.4609375,0.0
2025-10-13 12:45:00+05:30,82238.9375,82257.03125,82138.9765625,82257.03125,0.0
2025-10-13 13:00:00+05:30,82258.3828125,82262.859375,82136.78125,82257.5390625,0.0
