id,score,metrics,grammar,params
7b86b33538e035d673b432525138d8ce0d3b8e5ca991b9e7d111c1e878d78838,2.3074756819096756,"{'avg_sharpe': 3.498506742254281, 'avg_cagr': 0.19650603923309917, 'avg_max_dd': -0.002236400911252381, 'positive_folds': 2, 'stability': 0.7878298270870367, 'fold_results': [{'cagr': 0.19082722470716695, 'volatility': 0.042852343859409704, 'sharpe': 3.2863365693413176, 'max_dd': -0.00347280182250474, 'calmar': 54.94906834894881, 'total_trades': 2}, {'cagr': 0.2021848537590314, 'volatility': 0.041012693165762254, 'sharpe': 3.710676915167244, 'max_dd': -0.0010000000000000221, 'calmar': 202.1848537590269, 'total_trades': 2}], 'score': 2.3074756819096756}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'ADX_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'PCT_STOP'}","{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 70, 'adx_period': 14, 'adx_threshold': 20, 'stop_pct': 0.02, 'rr_ratio': 1.5}"
22ed51d7777a6154a87320d8d20782460a585f5673d6ece407170dab2a6f32b2,1.8034419343236148,"{'avg_sharpe': 1.7273991290792763, 'avg_cagr': 0.17611097799915953, 'avg_max_dd': -0.026756904715994408, 'positive_folds': 2, 'stability': -0.44145231965188647, 'fold_results': [{'cagr': 0.07204617422288773, 'volatility': 0.0770988641804933, 'sharpe': 0.28594680942738976, 'max_dd': -0.03195849525637606, 'calmar': 2.2543669107360036, 'total_trades': 1}, {'cagr': 0.28017578177543134, 'volatility': 0.07263697446833484, 'sharpe': 3.168851448731163, 'max_dd': -0.021555314175612756, 'calmar': 12.997991098288724, 'total_trades': 1}], 'score': 1.8034419343236148}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'FIXED_RR', 'stop_type': 'ATR_STOP'}","{'ema_fast': 10, 'ema_slow': 50, 'rsi_filter_period': 14, 'stop_atr_period': 14, 'stop_atr_mult': 1.5, 'rr_ratio': 1.5}"
220663f7aa2d7a2957efa56c29d82abfc35bb2ae77a8b7774c4e8c955d362fb1,1.4502680413739766,"{'avg_sharpe': 0.2933700980526004, 'avg_cagr': 0.03131263333043255, 'avg_max_dd': -0.0004999999999999462, 'positive_folds': 1, 'stability': 0.7066299019473996, 'fold_results': [{'cagr': 0.0, 'volatility': 0.0, 'sharpe': 0.0, 'max_dd': 0.0, 'calmar': 0.0, 'total_trades': 0}, {'cagr': 0.0626252666608651, 'volatility': 0.02151764400099396, 'sharpe': 0.5867401961052008, 'max_dd': -0.0009999999999998925, 'calmar': 62.62526666087183, 'total_trades': 2}], 'score': 1.4502680413739766}","{'entry_type': 'RSI_REVERSION', 'filter_type': 'NONE', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 70, 'stop_pct': 0.01, 'max_bars': 10}"
b0a82b0bc7f640f42aff435d6e353619edc0dd686a472982ffad200472cc8019,1.2692350090634694,"{'avg_sharpe': -0.670723666181984, 'avg_cagr': 0.09617504531734716, 'avg_max_dd': -0.008258109624601348, 'positive_folds': 1, 'stability': -2.1461664944705645, 'fold_results': [{'cagr': -0.00813850698036045, 'volatility': 0.015231904648369786, 'sharpe': -3.8168901606525485, 'max_dd': -0.0037810817074142686, 'calmar': -2.1524282229611087, 'total_trades': 3}, {'cagr': 0.20048859761505478, 'volatility': 0.06079259674080068, 'sharpe': 2.4754428282885805, 'max_dd': -0.012735137541788425, 'calmar': 15.742947177223787, 'total_trades': 2}], 'score': 1.2692350090634694}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'ema_fast': 9, 'ema_slow': 20, 'rsi_filter_period': 14, 'stop_pct': 0.01, 'max_bars': 20}"
