id,timeframe,score,sharpe,calmar,trades,positive_folds
a704c2c09f85,15m,0.15,0.0,0.0,0,0
5cfa642d6ac8,15m,-0.1214021886571868,-4.972806505678501,-5.1863660771559985,63,0
72474b805ead,15m,-0.12542381702928304,-4.105839041518481,-4.947851916054301,60,0
351ab53d4453,15m,-0.1505676831430535,-3.9346868056481457,-10.647355556459026,7,0
7f287a3a8f2c,5m,-0.17385596041907464,-7.063291120658121,-4.508239702942678,100,0
e7b91c1d08d4,15m,-0.18629322660422476,-5.9369072083279075,-12.126297584317534,4,0
b5927725a182,15m,-0.23281778256674426,-6.7830682815747805,-8.79947626822446,28,0
e12d34cd5c68,15m,-0.24085509049930026,-4.742722933745391,-5.419853071347349,3,0
d62348a7bcb6,15m,-0.24420011182561413,-3.5008229434718316,-7.409486995077446,26,0
1f242c66e9ff,5m,-0.26395833710831734,-5.294570650754075,-9.431534539636932,19,0
344a5095bfcd,5m,-0.26666666666666666,-9.015002783125965,-10.538198815196223,19,0
0947dde344e4,15m,-0.26666666666666666,-5.383438006431254,-10.320577778118853,8,0
d17600b2e31d,5m,-0.26666666666666666,-5.9523096899049355,-9.084012406976111,32,0
cfd61e2988ee,15m,-0.26666666666666666,-7.220008560990214,-9.665246103427558,14,0
1684b7387243,15m,-0.26666666666666666,-4.341068330909045,-7.542711878712044,19,0
