instrument,id,score,metrics,grammar,params
NIFTY,cb1da1de6394b10685ceb52afb1651ed88e019da28da65b20d3e9059941f7ccf,0.31533353824889254,"{'avg_sharpe': -0.42073458392610097, 'avg_cagr': 0.024196015200754817, 'avg_max_dd': -0.019481849149106157, 'positive_folds': 1, 'stability': -3.293452492110708, 'fold_results': [{'cagr': -0.2177089091142187, 'volatility': 0.05678792648578556, 'sharpe': -4.714187076036809, 'max_dd': -0.031213309680769227, 'calmar': -6.974874223234036, 'total_trades': 2}, {'cagr': 0.26610093951572833, 'volatility': 0.05580084701212561, 'sharpe': 3.872717908184607, 'max_dd': -0.0077503886174430875, 'calmar': 34.333883454158595, 'total_trades': 2}], 'score': 0.31533353824889254}","{'entry_type': 'EMA_CROSS', 'filter_type': 'RSI_FILTER', 'exit_type': 'TIME_EXIT', 'stop_type': 'PCT_STOP'}","{'ema_fast': 10, 'ema_slow': 200, 'rsi_filter_period': 14, 'stop_pct': 0.05, 'max_bars': 10}"
SENSEX,33472544087966e2ea0d31f08afe95df1ecf36c48ede75ded87126ce5faf3c4b,0.3405745416312501,"{'avg_sharpe': -0.5795745624488752, 'avg_cagr': 0.07402087666596013, 'avg_max_dd': -0.056804488931197, 'positive_folds': 1, 'stability': -1.1810637073111447, 'fold_results': [{'cagr': 0.20908920739408354, 'volatility': 0.09933829892288497, 'sharpe': 1.6014891448622695, 'max_dd': -0.05444101946392378, 'calmar': 3.840655620577419, 'total_trades': 1}, {'cagr': -0.061047454062163276, 'volatility': 0.04022528242058187, 'sharpe': -2.76063826976002, 'max_dd': -0.05916795839847022, 'calmar': -1.0317654303877697, 'total_trades': 8}], 'score': 0.3405745416312501}","{'entry_type': 'DONCHIAN_BREAKOUT', 'filter_type': 'ADX_FILTER', 'exit_type': 'INDICATOR_EXIT', 'stop_type': 'PCT_STOP'}","{'donchian_period': 55, 'adx_period': 14, 'adx_threshold': 20, 'stop_pct': 0.01}"
