id,timeframe,score,sharpe,calmar,trades,positive_folds
4e5262b89f0c,15m,0.2,0.0,0.0,0,0
2c07477e736e,15m,0.2,0.0,0.0,0,0
c9aa0ab3c749,15m,0.2,0.0,0.0,0,0
1b1714992fad,15m,0.2,0.0,0.0,0,0
9010a71cbb6f,15m,-0.07318900457604356,-4.217397993170696,-10.844622539905217,5,0
0f2fdfbf5c3e,5m,-0.0845655200160401,-1.982172074312066,-2.039981058529282,242,0
b709b6327d19,5m,-0.0940338510247034,-5.826584803724968,-10.097268687096825,19,0
9885071e5a59,5m,-0.11868854270316086,-2.895047229306509,-2.965044824243436,179,0
0ebb50782773,5m,-0.1516874164221137,-7.1345461022079855,-8.96238489929428,30,0
35c0c2a321cb,15m,-0.16284697731327674,-4.822136457056747,-10.175618377825053,6,0
4076ab9d27f3,15m,-0.21666666666666667,-4.7484144664607255,-9.229013238506344,7,0
ca4bcb453875,5m,-0.21666666666666667,-6.1080552312944905,-10.187112953201886,18,0
ff11f670b120,15m,-0.21666666666666667,-2.427080721375949,-5.645086318406722,1,0
dc061b33db53,15m,-0.21666666666666667,-7.562634880477462,-9.160099852652841,19,0
dda7346c219d,5m,-0.21666666666666667,-8.945707849843625,-8.833467265894928,39,0
